	;Rome;Milan;Naples;Turin;Florence;Salerno;Palermo;Catania;Genoa;Bari;Bologna;Verona;Pescara;Cagliari;Venice;Messina;Como;Caserta;Trieste;Pisa;Taranto;Bergamo;Reggio di Calabria;Treviso;Modena;Parma;Lecce;Livorno;Foggia;Perugia;Ravenna;Ferrara;Siracusa;Sassari;Udine;Barletta;Trento;Brindisi;Novara;Ancona;Soprabolzano;Catanzaro;Arezzo;Marsala;Asti;Potenza;Ragusa;L’Aquila;Benevento;Civitavecchia;
Taranto;4.95537;9.45421;3.00106;10.6006;6.82531;2.45515;4.52661;3.65964;9.16961;0.759032;7.12918;7.97176;3.61121;8.21023;6.97613;2.83242;9.72267;2.95598;6.21734;7.57458;0;9.14118;2.85332;7.19648;7.5773;8.13979;0.958114;7.56565;1.92723;5.54167;6.38917;7.13212;3.91767;8.67308;6.86307;1.26578;8.27165;0.720963;9.94;4.8866;8.40688;1.70351;6.1017;5.49244;10.0552;1.43834;4.3476;4.30086;2.56534;5.66735
Bergamo;4.68701;0.560258;6.6388;2.1456;2.45453;7.11836;8.40101;9.79526;1.48062;8.46091;2.01336;1.30437;5.53145;6.49444;2.62145;9.5117;0.64118;6.52895;4.06348;2.07659;9.14118;0;9.62867;2.52839;1.57277;1.07729;9.98872;2.2161;7.22105;3.67764;2.78833;2.05108;10.2675;5.08923;3.54583;7.88599;1.46761;9.64449;1.10479;4.30303;1.88577;9.65219;3.13564;8.3383;1.70701;7.90629;10.1006;4.93181;6.78505;4.14494
Reggio di Calabria;4.94649;9.79134;3.07101;10.5847;7.17434;2.72483;2.28339;0.813941;9.20816;3.26207;7.70588;8.69741;4.59589;6.62808;8.05604;0.117851;10.1072;3.24572;7.77679;7.69966;2.85332;9.62867;0;8.2975;8.09479;8.55318;3.41048;7.62541;3.35104;6.00955;7.19761;7.8661;1.091;7.56085;8.31805;3.27842;9.15795;3.41048;10.1736;5.93635;9.44371;1.22927;6.51573;3.23063;10.0867;2.53777;1.49685;4.83922;3.16403;5.5518
Treviso;3.7742;3.05156;5.2327;4.61968;2.14477;5.59256;7.63287;8.65133;3.52413;6.46198;1.49379;1.26371;3.75865;7.16861;0.242238;8.18741;3.16382;5.05184;1.53511;2.69598;7.19648;2.52839;8.2975;0;1.66267;2.09895;7.94842;2.86335;5.36784;2.53625;1.24994;1.06407;9.1265;6.16241;1.0727;5.93554;1.18144;7.5955;3.6172;2.38945;1.21043;8.03797;2.27888;7.86892;4.11701;6.16218;9.09694;3.48542;5.1794;3.59432
Modena;3.17945;1.89392;5.07992;3.27253;0.959745;5.5514;6.99321;8.29828;1.98249;6.90571;0.455216;0.787753;3.96611;5.73956;1.60748;7.97848;2.14664;4.96323;3.02703;1.08947;7.5773;1.57277;8.09479;1.66267;0;0.598378;8.43513;1.26765;5.65415;2.11036;1.30839;0.687183;8.77346;4.5904;2.71201;6.32642;1.41667;8.09329;2.41942;2.78234;1.92823;8.0849;1.58017;7.03217;2.72667;6.33362;8.63883;3.36043;5.21334;2.71442
Parma;3.61006;1.31487;5.57447;2.67836;1.38132;6.06213;7.33949;8.71844;1.43546;7.47739;1.04894;0.931099;4.53042;5.71436;2.09313;8.43612;1.59042;5.47154;3.5496;1.08449;8.13979;1.07729;8.55318;2.09895;0.598378;0;9.00719;1.25011;6.21372;2.62911;1.90654;1.25044;9.19088;4.44199;3.17083;6.89464;1.49815;8.66724;1.82605;3.37474;2.03524;8.59491;2.07753;7.30821;2.13568;6.87354;9.02812;3.88873;5.74033;3.07264
Lecce;5.89833;10.3218;3.95899;11.5056;7.71479;3.41321;5.32335;4.22144;10.0758;1.5298;7.98326;8.79041;4.48048;9.14142;7.73669;3.41862;10.5816;3.91017;6.86385;8.4824;0.958114;9.98872;3.41048;7.94842;8.43513;9.00719;0;8.48011;2.82572;6.43398;7.21536;7.96006;4.39476;9.6292;7.52736;2.11686;9.05554;0.353553;10.8186;5.70054;9.15621;2.18181;6.99222;6.30366;10.9575;2.39641;4.89084;5.20902;3.5143;6.61014
Livorno;2.72341;2.21823;4.78031;3.04508;0.958152;5.30744;6.23086;7.71251;1.6183;6.96597;1.38012;2.01914;4.04767;4.49642;2.75807;7.50757;2.55125;4.72235;4.04955;0.179506;7.56565;2.2161;7.62541;2.86335;1.26765;1.25011;8.48011;0;5.65442;2.09192;2.07453;1.80316;8.17724;3.3246;3.856;6.37094;2.64586;8.15601;2.55093;3.18442;3.17394;7.80344;1.57233;6.12722;2.51053;6.21079;7.96919;3.27151;5.04923;2.07431
Foggia;3.116;7.52782;1.45392;8.68159;4.89904;1.09608;3.99388;3.97747;7.2513;1.32183;5.2079;6.07079;1.69;6.82571;5.13874;3.26667;7.79817;1.29153;4.56295;5.65727;1.92723;7.22105;3.35104;5.36784;5.65415;6.21372;2.82572;5.65442;0;3.61574;4.48698;5.22627;4.39144;7.04357;5.1646;0.728964;6.40063;2.50361;8.01279;3.00634;6.57278;2.7452;4.17549;4.81043;8.13451;0.849346;4.60929;2.38333;0.875913;3.82234
Perugia;1.23884;3.93348;2.9727;5.07579;1.28377;3.44133;5.11536;6.26143;3.64973;4.9092;1.70008;2.68974;1.96645;5.08948;2.30563;5.89428;4.21933;2.85287;2.88516;2.06734;5.54167;3.67764;6.00955;2.53625;2.11036;2.62911;6.43398;2.09192;3.61574;0;1.29479;1.87179;6.73861;4.50311;3.05669;4.31747;3.18207;6.10228;4.40253;1.23873;3.53475;5.97506;0.560259;5.33375;4.52573;4.24709;6.65192;1.26007;3.11131;1.17851
Ravenna;2.53327;3.17922;4.12846;4.57834;1.15247;4.54003;6.40773;7.50036;3.25111;5.69192;0.870272;1.5839;2.80503;6.04669;1.0288;7.08462;3.40383;3.97171;2.00213;1.9482;6.38917;2.78833;7.19761;1.24994;1.30839;1.90654;7.21536;2.07453;4.48698;1.29479;0;0.744692;7.97733;5.184;1.94631;5.12637;1.96466;6.86865;3.71884;1.51724;2.26242;7.04604;1.05007;6.62157;4.0301;5.22225;7.91673;2.35891;4.15723;2.35196
Ferrara;3.0683;2.46605;4.8074;3.92265;1.11754;5.24047;6.94938;8.13294;2.66609;6.43644;0.430116;0.848855;3.54056;6.13444;0.958596;7.75174;2.67442;4.66372;2.34308;1.63919;7.13212;2.05108;7.8661;1.06407;0.687183;1.25044;7.96006;1.80316;5.22627;1.87179;0.744692;0;8.61015;5.09892;2.06432;5.87;1.31286;7.61331;3.01722;2.26133;1.70986;7.75915;1.44808;7.08451;3.38399;5.95149;8.52033;3.0438;4.87009;2.74191
Siracusa;5.59417;10.3812;3.91028;11.0454;7.82895;3.65338;2.20006;0.47726;9.71314;4.35204;8.41079;9.4218;5.5076;6.54646;8.88426;1.14807;10.7064;4.11515;8.71551;8.27019;3.91767;10.2675;1.091;9.1265;8.77346;9.19088;4.39476;8.17724;4.39144;6.73861;7.97733;8.61015;0;7.66965;9.22765;4.36228;9.91772;4.43346;10.724;6.8089;10.2385;2.23787;7.21083;2.95898;10.5722;3.60154;0.586184;5.64161;4.10369;6.13062
Sassari;4.0946;4.78242;5.69071;4.41418;4.05867;6.22321;5.46959;7.29266;3.70997;8.29966;4.66885;5.31572;5.9178;1.60977;6.03182;7.45392;5.08309;5.78303;7.17395;3.50147;8.67308;5.08923;7.56085;6.16241;4.5904;4.44199;9.6292;3.3246;7.04357;4.50311;5.184;5.09892;7.66965;0;7.09788;7.74552;5.92708;9.37353;4.74001;5.73117;6.46335;8.2285;4.27502;4.85481;4.1883;7.24033;7.25444;5.0783;6.20303;3.51857
Udine;4.23057;4.08582;5.32485;5.66664;3.03928;5.59504;7.94625;8.76118;4.59675;6.10797;2.47707;2.32423;3.72499;7.99237;1.1076;8.21435;4.16821;5.11305;0.678269;3.69778;6.86307;3.54583;8.31805;1.0727;2.71201;3.17083;7.52736;3.856;5.1646;3.05669;1.94631;2.06432;9.22765;7.09788;0;5.63613;2.10889;7.1747;4.64717;2.44225;1.90158;7.90294;2.9739;8.30145;5.17437;6.001;9.26604;3.69737;5.15409;4.21628
Barletta;3.84451;8.20951;2.08999;9.39067;5.59794;1.62822;4.32977;3.9959;7.96164;0.595586;5.87625;6.70806;2.36508;7.46801;5.71364;3.21425;8.47296;1.96596;5.00324;6.36946;1.26578;7.88599;3.27842;5.93554;6.32642;6.89464;2.11686;6.37094;0.728964;4.31747;5.12637;5.87;4.36228;7.74552;5.63613;0;7.00607;1.7859;8.70316;3.62131;7.14567;2.43522;4.87545;5.21435;8.84198;0.836992;4.66503;3.09991;1.54425;4.55125
Trento;4.37991;2.0243;6.09109;3.61267;2.30296;6.50406;8.25774;9.44046;2.73668;7.55103;1.59592;0.630917;4.73993;7.14069;1.34852;9.04441;2.06949;5.93633;2.67948;2.46678;8.27165;1.46761;9.15795;1.18144;1.41667;1.49815;9.05554;2.64586;6.40063;3.18207;1.96466;1.31286;9.91772;5.92708;2.10889;7.00607;0;8.70409;2.57099;3.39444;0.537483;9.00353;2.75409;8.36826;3.15683;7.16232;9.83273;4.32178;6.11703;4.0223
Brindisi;5.59526;9.98159;3.68876;11.1764;7.38138;3.1504;5.21422;4.2244;9.74751;1.19315;7.64084;8.44224;4.14424;8.92976;7.38413;3.40641;10.2394;3.62599;6.51177;8.15533;0.720963;9.64449;3.41048;7.5955;8.09329;8.66724;0.353553;8.15601;2.50361;6.10228;6.86865;7.61331;4.43346;9.37353;7.1747;1.7859;8.70409;0;10.481;5.35298;8.80309;2.19703;6.65954;6.1869;10.6274;2.13333;4.90445;4.88456;3.22236;6.30626
Novara;5.2482;0.566667;7.28112;1.05264;3.12041;7.7912;8.74225;10.2609;1.09671;9.28932;2.87349;2.36673;6.33827;6.26866;3.69344;10.0557;0.550252;7.20069;5.14988;2.47487;9.94;1.10479;10.1736;3.6172;2.41942;1.82605;10.8186;2.55093;8.01279;4.40253;3.71884;3.01722;10.724;4.74001;4.64717;8.70316;2.57099;10.481;0;5.20053;2.96517;10.3113;3.84253;8.55674;0.713365;8.6442;10.503;5.65813;7.49609;4.62193
